,MainBranch,Age,RemoteWork,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,Country,Currency,Salary,AISelect,AISent,AIBen,WorkExp,Industry
108,0,1,0,2,15,5,15,4,0,1,122,41,110000.0,1,4,3,5.0,8
110,0,1,1,1,12,7,15,3,1,3,177,131,145000.0,2,0,2,7.0,12
112,0,1,0,2,12,6,15,5,0,1,59,41,80000.0,2,4,4,6.0,4
116,0,2,2,2,12,9,15,3,0,1,56,41,80000.0,2,4,2,10.0,10
120,0,2,0,1,22,17,11,2,2,1,170,125,70000.0,1,3,4,22.0,1
121,0,1,2,1,20,10,32,7,2,1,177,131,200990.0,0,6,5,15.0,4
125,0,2,2,6,20,4,32,5,0,1,159,112,500000.0,1,0,4,4.0,9
126,0,3,0,2,26,25,13,0,1,3,59,41,90000.0,0,6,5,25.0,9
127,0,1,2,1,7,6,12,2,2,1,72,57,1500000.0,1,0,4,6.0,4
130,0,2,2,1,14,12,12,7,2,1,177,131,118000.0,0,6,5,22.0,12
139,0,2,2,2,20,16,24,7,1,3,146,107,10000000.0,1,4,4,16.0,4
144,0,1,2,1,8,6,11,5,0,1,131,103,200000.0,2,0,4,6.0,4
147,0,3,0,3,35,28,10,5,0,1,55,41,100000.0,0,6,5,28.0,1
148,0,1,2,1,10,6,11,5,2,1,114,97,4200000.0,2,0,4,6.0,4
149,0,2,2,2,16,10,15,5,2,1,150,41,140000.0,0,6,5,18.0,12
150,0,1,0,1,8,4,15,4,1,3,160,26,110000.0,0,6,5,5.0,7
152,0,1,0,1,21,3,11,5,0,1,34,7,110000.0,2,0,1,6.0,4
154,0,2,2,2,18,12,9,2,1,3,132,41,65000.0,0,6,5,12.0,4
159,0,1,0,1,13,11,21,0,0,1,131,103,200000.0,2,4,2,11.0,4
160,0,1,0,2,11,5,14,4,0,1,9,41,56000.0,1,1,2,5.0,4
162,0,1,1,0,8,3,15,7,1,3,16,41,50000.0,0,6,5,4.0,9
163,0,1,2,1,14,10,19,0,2,1,136,106,15000.0,2,4,4,10.0,4
164,0,0,0,1,7,5,4,1,2,1,30,24,70000.0,2,4,4,7.0,4
165,0,1,0,2,9,4,15,2,2,1,16,41,39000.0,0,6,5,4.0,7
166,0,1,0,1,9,7,15,3,0,1,115,41,66604.0,1,0,4,7.0,9
170,0,1,0,1,9,5,15,2,1,3,9,41,58800.0,2,0,2,9.0,7
174,0,2,0,1,16,12,24,3,1,3,175,44,45000.0,2,4,3,12.0,9
177,0,2,2,2,10,8,17,5,2,1,72,57,2000000.0,1,0,2,10.0,4
178,0,1,0,6,3,2,15,5,1,3,38,41,32600.0,2,4,4,2.0,4
180,0,0,0,1,5,3,15,2,1,3,154,41,25000.0,1,3,2,3.0,4
186,0,2,0,2,23,18,12,0,1,3,79,41,61000.0,0,6,5,18.0,7
189,0,2,0,4,8,8,4,7,0,1,40,41,70000.0,2,0,4,16.0,4
195,0,3,0,2,35,24,7,6,2,1,159,112,558000.0,0,6,5,24.0,4
197,0,2,2,1,30,25,15,2,1,3,177,131,170000.0,0,6,5,25.0,12
198,0,3,0,1,40,30,21,2,2,1,45,35,960000.0,0,6,5,30.0,2
199,0,2,2,2,25,20,11,7,0,1,137,108,430000.0,0,6,5,25.0,9
200,0,0,0,5,10,5,15,0,1,3,9,41,3700.0,1,1,4,5.0,12
202,0,2,2,1,23,19,15,2,1,3,177,131,110000.0,0,6,5,19.0,12
204,0,1,0,2,15,10,15,5,2,1,16,41,50000.0,2,1,3,15.0,10
209,0,0,2,1,10,4,15,0,1,3,72,57,3000000.0,2,0,3,3.0,1
211,0,1,1,2,15,8,15,5,2,0,56,41,52000.0,0,6,5,8.0,10
217,0,2,0,6,29,17,5,0,2,1,79,41,53000.0,1,4,4,17.0,11
218,0,2,0,2,20,16,27,3,0,1,61,41,75000.0,0,6,5,16.0,4
219,0,1,0,1,7,6,19,4,0,1,115,41,70000.0,2,0,4,7.0,12
222,2,2,1,1,20,15,30,7,0,1,170,125,900000.0,0,6,5,20.0,1
223,0,1,0,1,10,7,15,2,1,3,59,41,95000.0,0,6,5,7.0,9
224,0,1,0,1,10,2,11,2,2,1,175,44,57500.0,2,1,0,3.0,12
227,0,0,2,7,8,5,11,5,2,1,74,131,20000.0,1,1,3,5.0,4
228,0,1,1,1,8,3,13,3,2,1,160,26,90000.0,0,6,5,3.0,9
233,0,0,0,1,2,0,20,2,2,1,137,108,4800000.0,2,4,2,2.0,4
234,0,1,0,1,8,5,15,7,1,3,70,53,20000000.0,2,1,4,5.0,4
239,0,1,2,1,11,7,15,1,2,1,177,131,120000.0,1,0,3,9.0,4
247,0,1,0,1,7,6,15,5,0,0,72,131,10000.0,2,4,4,7.0,2
248,0,0,2,6,6,6,11,7,0,0,175,44,180000.0,2,1,4,8.0,4
249,0,2,1,1,20,14,17,5,2,1,134,69,95000000.0,1,4,4,14.0,1
250,0,1,2,1,10,5,17,0,1,3,23,19,150000.0,0,6,5,5.0,4
252,0,2,1,5,30,14,15,5,2,1,159,112,600000.0,2,0,4,20.0,4
256,0,1,1,5,16,8,15,5,2,1,34,28,130000.0,0,6,5,8.0,12
257,0,0,2,1,7,6,15,3,1,3,59,41,15000.0,2,0,3,6.0,4
265,0,3,1,6,40,26,13,0,1,3,159,112,510000.0,0,6,5,26.0,4
266,0,0,1,6,3,2,15,1,0,1,181,135,24000000.0,2,0,4,2.0,4
268,0,2,0,0,9,8,30,1,0,1,56,41,60000.0,0,6,5,9.0,9
271,0,0,1,1,4,1,11,5,2,1,72,57,420000.0,2,0,3,1.0,4
272,0,3,0,1,31,25,3,0,2,1,59,41,74000.0,0,6,5,26.0,10
273,0,1,2,1,11,7,15,0,1,3,177,131,240000.0,0,6,5,9.0,4
277,0,4,0,6,43,38,17,5,0,1,59,41,70000.0,0,6,5,38.0,10
279,0,0,0,2,10,4,15,3,2,1,59,41,57000.0,0,6,5,4.0,7
282,0,0,1,6,9,5,11,4,0,1,74,59,300000000.0,1,4,2,7.0,4
283,0,2,0,5,25,18,14,2,2,1,78,55,520000.0,2,4,0,18.0,4
285,0,1,2,2,13,7,11,5,0,1,173,131,33000.0,1,4,4,13.0,2
289,0,1,2,2,7,3,15,5,2,0,59,41,52000.0,2,0,4,3.0,4
291,0,3,2,1,30,25,2,5,2,1,177,131,150000.0,1,4,4,30.0,8
293,0,2,2,1,18,13,21,0,0,1,170,125,2800000.0,0,6,5,15.0,4
294,0,1,2,2,10,8,11,7,2,1,137,108,4880000.0,0,6,5,8.0,6
296,0,2,0,1,22,10,15,5,0,1,59,41,72000.0,1,3,3,10.0,4
297,0,2,2,1,12,8,15,7,2,1,159,112,1420000.0,2,0,4,8.0,4
306,0,3,2,1,27,25,15,3,2,1,59,41,85000.0,0,6,5,25.0,2
311,0,1,0,2,10,5,11,3,2,1,55,41,65000.0,2,0,2,5.0,1
312,0,2,1,6,28,20,12,7,2,1,131,103,13000.0,0,6,5,20.0,10
314,0,1,0,2,4,2,11,9,0,1,72,57,300000.0,0,6,5,2.0,4
315,0,2,0,2,26,18,27,3,0,1,136,131,280000.0,1,0,0,27.0,12
316,0,2,2,1,25,17,19,3,0,1,146,41,8400.0,0,6,5,17.0,1
320,0,4,2,2,33,29,2,9,0,1,177,131,15400.0,1,4,2,32.0,2
324,0,2,0,1,10,7,15,7,2,1,59,41,75000.0,0,6,5,7.0,5
327,0,1,1,6,6,2,17,5,1,3,48,36,13000.0,2,4,4,3.0,9
329,0,2,1,1,20,15,15,1,1,3,79,41,18000.0,0,6,5,15.0,11
332,2,1,0,4,12,5,0,7,1,3,79,41,20000.0,2,0,4,4.0,3
333,0,0,0,7,8,2,15,4,2,1,79,41,18000.0,0,6,5,2.0,4
337,2,1,0,6,4,4,11,1,0,1,132,41,24000.0,2,4,3,9.0,12
346,0,2,0,1,15,15,15,4,0,1,160,26,140000.0,0,6,5,10.0,4
349,0,2,0,1,30,22,15,7,0,1,30,24,240000.0,0,6,5,22.0,9
359,0,2,0,5,25,13,15,0,2,1,59,41,75819.0,1,2,0,13.0,12
364,0,2,0,1,14,9,13,0,1,3,78,55,402000.0,2,4,1,9.0,12
367,0,0,2,1,4,2,11,4,1,3,50,38,100000.0,0,6,5,2.0,9
369,0,1,1,2,10,4,0,5,2,0,59,41,40579.0,1,0,0,4.0,3
371,0,2,1,1,14,14,15,7,2,1,115,41,70000.0,2,4,4,14.0,4
376,0,3,2,1,41,25,21,2,1,3,177,131,295000.0,2,1,3,25.0,4
379,0,1,0,1,6,3,11,7,1,3,13,12,1200000.0,0,6,5,3.0,4
380,0,1,2,2,18,12,17,7,1,3,72,57,2200000.0,1,0,4,12.0,4
381,0,2,0,2,27,21,17,2,2,1,59,41,140000.0,2,0,3,21.0,10
383,0,1,1,2,17,13,15,0,1,3,131,103,305000.0,1,1,4,13.0,12
384,0,2,0,0,15,12,15,3,2,1,175,44,56000.0,0,6,5,15.0,4
385,0,2,2,4,22,12,15,5,2,1,59,41,72000.0,1,4,2,12.0,4
389,0,1,0,1,3,3,15,5,2,1,170,125,300000.0,2,1,3,3.0,3
390,0,3,2,2,11,5,15,4,0,1,175,44,15000.0,2,0,4,24.0,11
391,0,1,0,5,15,13,12,1,0,1,59,41,65000.0,2,4,2,13.0,4
395,0,1,0,1,10,2,7,2,1,3,115,41,48000.0,1,3,3,4.0,1
396,0,1,2,1,19,11,24,4,0,1,177,131,180000.0,1,3,0,10.0,4
397,0,0,0,1,6,1,13,2,1,3,72,57,1050000.0,0,6,5,1.0,7
399,0,1,0,2,15,3,27,0,1,3,160,26,105000.0,1,0,4,3.0,9
404,0,1,1,1,5,2,1,7,2,1,72,57,400000.0,2,0,4,1.0,4
405,0,4,2,6,20,20,9,3,0,1,177,131,400000.0,0,6,5,20.0,12
406,2,2,2,1,21,14,19,5,2,1,59,41,60000.0,0,6,5,14.0,4
411,0,3,0,6,33,23,15,4,1,3,131,103,8500.0,0,6,5,23.0,4
418,0,1,0,3,6,5,12,1,1,3,79,41,17000.0,1,0,3,5.0,4
422,0,1,1,1,10,3,15,3,0,1,59,41,60000.0,2,0,4,5.0,10
424,0,1,0,2,13,5,14,5,0,1,9,41,57400.0,2,0,2,5.0,2
426,0,2,0,1,12,8,4,8,1,3,72,57,2000000.0,0,6,5,8.0,2
430,0,1,0,2,11,8,14,5,2,1,55,41,4300.0,0,6,5,8.0,4
433,0,3,1,1,30,7,11,7,1,3,122,96,850000.0,1,1,3,7.0,12
434,2,1,1,1,13,2,30,5,0,1,122,96,1000000.0,2,0,3,2.0,7
435,0,2,1,7,24,21,15,3,2,1,30,24,87000.0,2,0,0,21.0,7
436,0,2,2,5,20,20,21,3,2,1,152,141,1200000.0,2,4,4,20.0,7
438,0,3,0,4,32,20,11,5,0,1,175,44,12000.0,0,6,5,22.0,1
441,0,1,1,1,7,3,17,5,2,1,170,125,300000.0,1,0,2,3.0,10
442,0,2,1,1,14,10,15,3,1,3,74,59,0.0,0,6,5,10.0,12
444,0,1,2,1,6,5,15,0,2,1,23,19,200000.0,0,6,5,6.0,4
447,2,1,0,2,5,4,10,0,1,3,173,129,1800000.0,1,1,4,6.0,10
448,0,1,0,1,8,3,15,3,1,3,59,41,56000.0,2,4,4,5.0,2
451,0,1,2,1,13,8,14,6,1,3,173,129,60000.0,0,6,5,8.0,9
456,0,2,2,1,25,15,11,3,1,3,59,41,61000.0,0,6,5,23.0,7
457,0,1,1,1,4,1,11,1,1,3,179,133,5000000.0,2,0,1,1.0,4
461,0,3,0,2,25,20,4,9,0,1,160,26,120000.0,1,0,2,25.0,4
462,0,1,2,2,7,5,1,4,0,1,150,41,5000.0,2,0,4,5.0,4
463,0,1,2,1,13,10,11,5,0,1,72,57,5400000.0,2,0,3,9.0,1
466,0,1,1,1,15,4,15,3,2,2,72,57,540000.0,1,0,3,4.0,4
467,0,1,0,6,8,4,11,5,2,1,59,41,54000.0,2,0,3,5.0,2
473,0,2,1,1,24,20,15,5,2,1,61,41,2300.0,1,1,2,20.0,4
474,0,2,2,2,22,15,11,6,2,1,177,131,125000.0,0,6,5,16.0,4
475,0,2,0,2,16,11,15,3,2,1,131,103,18000.0,1,0,2,11.0,4
478,0,1,2,6,8,0,4,4,1,3,23,19,18000.0,2,4,4,1.0,12
479,0,2,2,2,15,11,21,3,1,3,177,131,175000.0,0,6,5,11.0,4
480,0,2,0,6,15,11,12,3,2,1,56,41,98000.0,0,6,5,13.0,3
481,0,1,0,4,15,5,27,4,2,1,96,41,40000.0,2,0,4,10.0,4
483,0,2,2,2,23,12,15,3,2,1,79,41,42000.0,2,4,4,13.0,2
485,0,2,2,6,20,14,21,5,2,1,79,41,2200.0,0,6,5,14.0,4
492,0,1,2,2,10,5,7,2,1,3,79,41,64000.0,0,6,5,5.0,10
494,0,2,0,2,22,15,13,2,2,1,59,41,6200.0,1,1,0,15.0,4
495,0,0,2,5,6,3,17,5,1,3,73,54,4000000.0,0,6,5,3.0,4
496,0,4,0,4,48,40,15,5,2,1,76,41,145000.0,1,0,4,40.0,4
497,0,1,1,2,13,6,15,1,2,1,59,41,60000.0,2,0,2,6.0,4
498,0,1,2,1,15,11,15,0,0,1,9,41,110000.0,0,6,5,14.0,1
501,0,0,0,1,6,4,10,8,1,3,72,57,650000.0,1,0,4,3.0,6
502,0,2,1,2,10,6,14,0,2,2,58,45,50000.0,2,3,3,9.0,12
504,0,1,1,7,7,5,15,5,1,3,56,41,36400.0,2,0,4,4.0,7
505,0,1,0,1,9,5,15,5,0,1,114,97,2400000.0,2,4,4,5.0,1
508,0,1,0,2,10,5,15,7,2,0,115,41,65000.0,2,0,2,5.0,2
509,0,1,2,2,17,7,11,4,0,1,9,41,56000.0,2,4,3,7.0,4
514,0,0,1,1,4,0,15,4,1,3,18,138,3500000.0,0,6,5,1.0,9
523,0,1,2,5,4,3,15,1,1,3,59,41,39000.0,2,0,2,3.0,12
524,0,0,0,1,12,5,15,1,0,1,45,35,540000.0,1,2,3,5.0,7
526,0,1,0,1,17,15,15,3,2,1,177,131,215000.0,1,1,3,13.0,4
529,0,1,0,2,7,3,12,2,1,3,131,103,200000.0,0,6,5,3.0,4
534,0,3,2,2,25,15,30,4,0,1,175,44,50000.0,1,2,3,15.0,1
536,0,1,0,2,16,14,17,0,2,1,177,131,140000.0,0,6,5,14.0,4
537,0,1,0,7,6,5,11,3,1,3,131,103,223200.0,2,4,3,5.0,4
538,0,1,2,6,7,5,15,1,0,1,59,41,48000.0,2,0,3,5.0,12
539,0,1,2,2,18,15,15,3,2,1,59,41,190000.0,0,6,5,15.0,4
541,0,1,2,4,13,3,4,3,1,3,59,41,110000.0,2,0,4,3.0,9
542,0,1,1,2,4,2,14,1,0,2,74,59,840000000.0,2,1,2,3.0,4
544,0,1,0,1,7,2,11,0,2,1,59,41,60000.0,0,6,5,3.0,10
545,0,0,1,2,7,1,16,3,1,3,56,41,31500.0,0,6,5,1.0,4
547,0,1,2,1,5,2,15,5,1,3,72,57,1000000.0,0,6,5,2.0,2
550,0,2,2,2,4,2,15,5,1,3,177,131,90000.0,0,6,5,15.0,4
554,0,2,0,2,21,15,11,8,1,3,159,112,550800.0,0,6,5,21.0,7
557,2,1,0,1,8,7,4,2,2,1,177,131,165974.0,1,1,3,7.0,1
560,0,4,0,4,42,20,0,5,2,1,175,44,33000.0,1,1,3,20.0,9
563,0,2,2,1,26,9,21,3,2,1,177,131,192000.0,2,4,4,27.0,2
564,0,2,0,0,8,5,13,4,2,3,170,125,132000.0,1,0,4,6.0,4
568,0,1,2,2,10,7,11,3,1,3,173,131,90000.0,0,6,5,7.0,1
569,0,1,0,1,18,7,15,7,1,3,59,41,96000.0,2,4,3,7.0,1
570,0,2,0,1,18,13,30,0,0,1,177,131,280000.0,1,0,3,24.0,2
573,0,3,2,1,35,27,11,2,1,3,177,131,145000.0,0,6,5,27.0,7
575,0,1,0,1,15,10,15,0,2,0,95,41,36000.0,0,6,5,10.0,4
576,0,2,2,2,22,13,4,5,1,3,154,41,60000.0,2,4,4,13.0,4
579,0,1,2,6,10,9,14,5,2,1,150,41,45000.0,2,4,4,10.0,4
590,0,0,0,5,13,2,11,3,1,3,177,131,70000.0,0,6,5,2.0,4
591,0,2,2,2,22,17,11,7,1,3,132,41,100000.0,2,4,1,18.0,2
596,0,2,2,1,18,15,15,3,2,1,12,14,1200.0,2,4,4,15.0,1
598,0,1,2,2,10,8,11,3,1,3,163,121,400000.0,0,6,5,8.0,2
602,0,1,1,1,13,11,11,5,0,1,160,26,100000.0,2,1,2,13.0,4
603,0,1,2,2,6,4,19,0,2,1,72,57,1400000.0,0,6,5,4.0,12
608,0,3,2,2,25,15,15,3,1,3,154,41,50000.0,0,6,5,18.0,4
619,0,1,1,2,15,10,15,5,2,1,59,41,48000.0,1,0,2,10.0,7
621,0,1,0,1,18,12,15,6,1,3,72,57,2172000.0,0,6,5,12.0,4
624,0,1,1,2,9,3,11,5,2,2,96,41,55000.0,0,6,5,3.0,1
626,0,2,2,1,10,8,27,9,1,3,137,131,90000.0,2,1,3,10.0,2
630,0,1,2,1,12,5,10,2,1,3,30,24,150000.0,0,6,5,6.0,4
632,0,1,1,2,11,6,15,3,2,1,59,41,52000.0,0,6,5,9.0,4
633,0,1,0,0,14,6,15,5,0,0,115,41,30000.0,2,0,3,5.0,4
641,2,2,2,2,26,20,29,5,0,1,70,53,75000000.0,0,6,5,26.0,1
642,0,1,2,1,7,4,15,1,0,1,177,131,126000.0,2,4,4,7.0,4
643,0,2,0,1,19,11,11,2,1,3,115,41,90000.0,1,3,0,11.0,4
649,0,1,2,2,25,14,11,5,0,1,102,41,95000.0,2,4,3,15.0,4
651,2,3,1,4,43,28,0,7,0,0,177,131,183000.0,0,6,5,28.0,3
653,0,2,0,2,17,14,13,6,1,3,177,131,125000.0,0,6,5,15.0,4
655,0,2,0,2,20,15,15,4,0,1,16,41,100000.0,0,6,5,15.0,4
662,0,1,2,1,13,8,11,1,0,1,154,41,70000.0,1,1,3,8.0,9
663,0,2,0,1,18,11,15,0,2,1,154,41,28000.0,0,6,5,11.0,4
666,0,1,0,2,11,4,11,0,2,0,59,41,70000.0,2,0,4,4.0,4
669,0,2,2,6,18,12,8,2,2,0,177,131,200000.0,2,0,0,13.0,4
673,0,1,2,6,7,7,1,5,2,1,74,59,720000000.0,2,1,2,7.0,1
676,0,1,0,1,9,6,30,5,0,1,78,55,660000.0,1,3,3,6.0,0
677,0,3,0,1,29,25,15,3,2,1,177,131,120000.0,2,4,4,25.0,12
680,0,1,0,1,15,5,12,6,1,3,8,7,80000.0,0,6,5,5.0,9
683,2,3,1,2,37,24,27,5,2,1,137,108,2400000.0,1,0,2,25.0,9
684,0,1,0,2,16,13,7,3,2,1,9,41,93000.0,2,4,2,14.0,4
685,0,1,1,1,10,0,15,5,2,1,59,41,39000.0,2,2,3,1.0,0
686,0,2,0,2,24,16,15,0,2,1,61,41,42000.0,0,6,5,16.0,1
688,0,1,0,4,5,4,11,6,2,3,175,44,70000.0,0,6,5,4.0,4
695,0,1,1,2,11,9,15,1,0,1,74,59,331000000.0,2,4,4,9.0,4
698,0,1,2,5,6,5,21,3,2,1,177,131,170000.0,2,4,4,5.0,4
700,0,1,0,0,10,8,15,7,2,1,177,131,130000.0,0,6,5,8.0,5
701,0,1,0,1,4,2,32,1,0,1,13,12,600000.0,2,0,4,2.0,2
702,0,2,1,6,20,8,3,5,2,1,30,24,85000.0,0,6,5,8.0,7
703,0,1,0,1,10,7,11,5,0,3,131,103,192000.0,1,0,2,7.0,12
704,0,1,0,1,10,8,14,3,2,1,59,41,64000.0,0,6,5,8.0,4
706,0,2,2,2,24,23,11,3,2,1,137,108,6444000.0,0,6,5,23.0,1
708,0,1,1,1,10,7,15,1,2,1,115,41,30000.0,0,6,5,10.0,4
712,0,2,1,2,17,3,12,5,2,0,137,108,80000.0,0,6,5,4.0,4
719,0,1,1,6,13,5,12,5,2,1,79,41,40000.0,0,6,5,5.0,4
720,0,1,2,1,7,6,11,3,2,1,79,41,38000.0,1,1,2,7.0,9
721,0,1,2,1,5,1,14,6,1,3,155,75,840000.0,0,6,5,1.0,4
722,0,1,0,4,3,2,15,6,1,3,59,41,64000.0,2,1,3,2.0,12
730,0,2,1,1,27,21,13,5,0,1,159,112,540000.0,0,6,5,21.0,7
732,0,1,0,1,8,3,15,4,0,1,169,123,0.0,2,3,4,3.0,10
735,0,1,2,2,8,6,17,4,0,1,131,103,500000.0,1,1,2,5.0,4
737,0,1,1,6,10,7,15,4,2,1,175,44,28000.0,0,6,5,10.0,4
738,0,3,0,6,39,21,11,5,0,1,59,41,82000.0,0,6,5,21.0,2
740,0,2,2,2,25,14,11,7,1,3,59,41,96000.0,0,6,5,14.0,10
743,0,1,0,1,7,4,12,3,2,1,59,41,42000.0,0,6,5,4.0,4
744,0,1,0,1,8,4,11,2,1,3,72,57,2500000.0,1,4,2,5.0,4
746,0,2,0,1,20,15,15,7,2,1,23,19,80000.0,1,0,3,17.0,4
748,0,1,2,2,10,7,15,3,2,0,89,41,62750.0,2,1,2,2.0,4
749,2,2,2,2,30,15,32,3,0,1,59,41,60000.0,0,6,5,16.0,9
751,0,1,2,6,7,6,14,3,1,3,30,24,72000.0,2,0,4,6.0,4
752,0,2,1,5,0,17,25,5,0,1,123,99,12000.0,1,0,2,17.0,4
758,0,0,0,0,7,4,15,4,0,1,8,131,40000.0,2,1,2,5.0,4
765,0,1,0,6,5,1,15,4,2,1,55,41,39000.0,0,6,5,1.0,2
770,0,1,0,2,10,2,4,2,1,3,177,131,9000000.0,1,3,3,2.0,7
771,0,2,2,1,5,3,15,4,0,1,154,41,70000.0,2,4,3,3.0,4
774,0,1,2,1,4,2,15,3,3,3,72,57,700000.0,1,6,5,2.0,2
776,0,1,2,6,15,10,14,7,1,3,23,19,180000.0,2,0,2,13.0,4
777,0,4,1,1,43,34,14,0,2,1,78,55,220000.0,0,6,5,34.0,1
778,0,0,1,0,4,2,15,4,2,1,48,36,150000.0,2,4,4,2.0,4
779,0,1,0,6,7,4,14,4,1,3,59,41,39000.0,0,6,5,5.0,4
784,0,2,0,1,25,9,15,0,1,3,59,41,70000.0,1,1,3,9.0,12
790,0,3,2,4,5,3,11,5,2,1,30,24,130000.0,2,4,4,3.0,1
793,0,0,1,1,3,0,15,6,2,1,177,131,73000.0,2,0,3,1.0,7
800,0,1,1,6,9,6,15,2,1,3,177,131,50000.0,0,6,5,15.0,7
801,0,2,2,2,10,10,19,2,1,3,131,103,300000.0,2,3,3,10.0,5
806,0,1,2,1,13,6,7,4,0,1,72,57,4000000.0,0,6,5,6.0,9
814,0,1,2,2,3,2,3,2,2,1,72,57,3000000.0,1,1,4,10.0,12
815,0,1,2,1,12,9,15,5,2,1,137,108,16936.0,2,0,2,9.0,4
818,0,2,2,1,19,19,17,5,1,3,58,45,200000.0,1,0,2,19.0,9
823,2,3,0,4,25,22,30,3,0,1,159,112,1500000.0,2,4,2,25.0,10
824,0,2,0,4,22,20,14,3,1,3,115,41,80000.0,0,6,5,20.0,2
825,0,1,1,1,8,6,17,3,2,0,72,57,1200000.0,1,0,4,6.0,4
828,0,3,0,2,35,25,11,6,2,1,59,41,106000.0,0,6,5,35.0,7
830,0,2,1,6,23,9,15,1,2,1,9,41,73500.0,0,6,5,9.0,4
831,0,2,0,1,30,25,13,3,1,3,56,41,100000.0,0,6,5,25.0,7
833,0,2,0,2,20,17,14,2,2,1,56,41,80000.0,0,6,5,17.0,1
839,0,3,2,5,30,25,12,5,1,3,177,131,110000.0,0,6,5,30.0,2
840,0,1,2,1,11,7,15,1,0,2,23,19,120000.0,1,4,2,7.0,6
842,0,2,1,2,26,20,13,3,2,0,59,41,26000.0,2,4,2,17.0,4
846,0,0,0,7,8,5,15,5,2,1,175,44,42000.0,1,0,2,5.0,4
852,0,1,0,1,8,6,10,5,1,3,59,41,58000.0,2,2,3,6.0,2
854,0,1,2,1,10,8,15,3,2,1,72,57,5500000.0,1,0,4,8.0,10
